Author,Title,Poetry Foundation ID,Content,Tag
Tom Clark,40 Days,47074,"sleepwalker can never die
he is the chemical soldier
composite of latex
and atropine,
hellfire, warthogs,
desolation, pride,
apaches, lasers,
dust

devils swirling,
screaming fire
deaths, machine
worship, young blond
pilots flashing thumbs
up, excited smiles
of interviewed
military wives, shrapnel-

paced rockeye
anti-personnel
bombs spraying
death like fireflies
over a texas barbecue
of human flesh
stretching sixty miles
across open desert,

armageddon
over eden, algebraic
mosaic
of witchcraft, dot
pattern magic of omens
and signs,
victims never
knowing what

hit them, vivid
delivery of hell
to nineveh,
incendiary
reduction of tissue
to shadows on the sand,
incineration of boots
with human feet still

in them, pain,
mania,
technology,
history, delirious
victims bleeding,
eagle with the brains
of a weak and

frightened victim in
its beak, unhappy
fate, grief,
shame, helpless
rage",poetry
Ted Berrigan,"44th Birthday Evening, at Harris’s",56122,"Nine stories high Second Avenue
On the roof there’s a party
All the friends are there watching
By the light of the moon the blazing sun
Go down over the side of the planet
To light up the underside of Earth
There are long bent telescopes for the friends
To watch this through. The friends are all in shadow.
I can see them from my bed inside my head.
44 years I’ve loved these dreams today.
17 years since I wrote for the first time a poem
On my birthday, why did I wait so long?
my land a good land
its highways go to many good places where
many good people were found; a home land, whose song comes up
from the throat of a hummingbird &amp; it ends
where the sun goes to across the skies of blue.
I live there with you.",poetry
Suzanne Gardinier,45,56798,"Wasn't that your cheek against mine last night
Gin Streetlight When somebody loves you Impossible

When you reach the broken paddock fence
the sign will say Impossible

The color God painted my eyes A cross
between storm and ewerstream Impossible

All your wrong lovers without certificates
Stamped across their foreheads Impossible

Dear Torch Received your kind invitation
Regret conflagration impossible

You must mean a phantom Your hand at her waist
Your ache at her absence Not mine Impossible

A holy place in the emperor's city
A peach in a stone Impossible

You the mask of a ram I the mask of a bull
Horn chips Mischling Torn doors Impossible

Dance without footprints Dance with no name
in a room with no lovers not touching Impossible

Your eyes One protecting your sleeping son's dreaming
One torchlit and trying to close Impossible

Dear Lion Here's a gazelle Hold her
in your teeth but no biting Yours Impossible",poetry
Gillian Conoley,4th,57858,"of July

bagpipes                                   big mad Hitchcockian crows


siren        families striding       hurrying


want a whole lot of love           sings the Joplin


mimic            white birch         willow swings          pollen


the cars in shade



way way down gonna give you my love



staying in the house

the crows outside are winning

car door       a muffled crowd gasp      wheels at the top of the sky


and waits

the night sky's visuals

called          ""Untamed Retribution""        and ""Rain Fire""

an objective       sincerity         the war does not space itself

two teenage             girls at the screen           with the sun in their eyes



all day   time takes

all the time         bright canisters in the culverts         girls read

hills of it

day-long trash truck heads down our street

what a big

engine        emergency brake

distance between        telephone pole and queen palm's trunk

smoke loops      from back of the house to front

leaves no signet              in cloud                 sidewalk's scalding path

'neath county's ripe

corn table

globe's eggshell



for romance    the girls layer their tears back into their skin


many dawns     the boys waving

bends

air crosses clouds in hot nets

increasing          the local tenor's uprightness


fumes exhume

the crowd stands open-mouthed

heads lifted



you
you
you
you
you
and
you
send me

smoke falls through each head of hair

to each ear's

size and limit

love



sound-chamber'd


moon's



far off


place",N/A
William Walden,A Posy of Love Poems,41969,"4TH CENTURY B.C.

How beautiful, my wellbeloved, is your body of granite—
It smites my eyes like an army with banners.
Your lips are the red wine poured from goatskin bags,
Your brows are warriors' full-drawn bows,
Your glances the arrows they shoot therefrom,
And your hair is the mane of a lion, tawny and thick.

17TH CENTURY

Let us not love tonight past mind
But stifle our intent
Lest blazing passion, unconfined,
Provoke imperilment.

Against the dark, our fierce desire
Would flare too bright for sight,
So must we tame our blinding fire
And bank it for the night.

With luminating dawn's return
And appetite's increase
Our lusty flame can safely burn
In furious release.

18TH CENTURY

Since even modest airs and prudish dress
May not deter rash beaux from wantonness,
Can your unsullied innocence o'ervault
Concupiscent intention to assault?
My sweet, have no misgivings, for you wear
So plainly insurmountable an air
That ogling lechers, hunting am'rous game,
Will blush, apologize, and flee in shame.

19TH CENTURY

Ethereal nightingale, gallantly singing
Your heart out in rich melodies
To insentient stones, earless trees,
And indifferent insects, forsake them! Go winging
To town like a dart to the mark, I implore you,
And, serving as courier bird,
Tell her who is waiting this word:
""I'm locked in my room and can't come but adore you.""",poetry
Yolanda Wisher,"5 South 43rd Street, Floor 2",57849,"Sometimes we would get hungry for the neighborhood.
Walk up the sidewalk towards Chestnut Street.
Speak to the Rev holding the light-skinned baby,
ask his son to come put a new inner tube on my bike.
Cross Ludlow, past the mailbox on the corner,
Risqué Video, Dino's Pizza, and the Emerald Laundromat.
The fruit trucks tucked into 44th Street on the left,
house eyes shut with boards, fringes of children.
Once we went into a store sunk into the street,
owned by a Cambodian woman. She sold everything,
from evening gowns to soup. Over to Walnut and 45th,
where the Muslim cat sells this chicken wrapped in pita,
draped in cucumber sauce. The pregnant woman
behind the counter writes our order out in Arabic.
We grab a juice from the freezer, some chips,
eye the bean and sweet potato pies.

Back into the hot breath of West Philly, sun is setting.
The sky is smeared squash, tangerines in a glaze.
Three girls and one boy jump doubledutch. A white man
hustles from the video store with a black plastic bag.
We look for money in the street, steal flowers
from the church lawn. The shit stain from the wino
is still on our step. Mr. Jim is washing a car for cash.
John is cleaning his rims to Buju Banton.
Noel is talking sweetly to the big blue-eyed woman.
Linda, on her way to the restaurant. The sister
in the wheelchair buzzes by with her headphones on.

One night, a man was shot and killed on this block,
right outside our thick wood door. But not today.
Today is one of those days to come home from walking
in the world, leave the windows open, start a pot of
black beans. Smoke some Alice Coltrane. Cut up
some fruit, toenails. Hold on to the moment
as if time is taking your blood pressure.",novel
Langston Hughes,50-50,47877,"I’m all alone in this world, she said,
Ain’t got nobody to share my bed,
Ain’t got nobody to hold my hand—
The truth of the matter’s
I ain’t got no man.

Big Boy opened his mouth and said,
Trouble with you is
You ain’t got no head!
If you had a head and used your mind
You could have me with you
All the time.

She answered, Babe, what must I do?

He said, Share your bed—
And your money, too.",novel
William Trowbridge,50th Reunion: Westide High,89549,"How did we get here so suddenly,
with our bags and baggage, looking
the worse for wear, the ones misfortune

hasn't wrung into anything-but-perfect
strangers? Old buddies, old loves,
old antagonists chat at the bar

in the Hilton lobby; white-haired, no-haired
dyed-haired, ringers for those oldsters
so irrelevant to proms and cruising,

to study halls and going steady—to life
as we knew it. The smithereens
of yesteryear, mostly orphans who’ve buried

Mom and Dad, we’re holding out
in a Guadalcanal of hazard and heart-soreness:
edema, angina, sarcoma, thrombosis.

Casualties mount, as do the MIAs.
Why aren't we vexed? Why aren't we
screaming? Never mind; we're here, upright,

and don't have time to skip the niceties,
which never seemed so nice,
or to sweat the threats, as the dead,

ever younger, smile toward the future
from our senior yearbook. It's too late
for a fallback plan. Tonight,

we'll savor the motel cuisine, pass
the Inglenook, and believe there's nothing
opulent as this departure.",novel
Mónica de la Torre,$6.82,148198,"My economy is circular: I earn money from an institution that owns most of
the businesses where I tend to spend most of my money.

My economy is quasi-medieval, trade-centered, and guild-like.

My economy is not canonical.

My economy is a misfortune that recently befell me.

My economy admits foundational narratives.

My economy is language.

My economy is the executioner’s reversal of fortune.

My economy has no essential features.

My economy admits parallax critiques of ideology.

My economy owes something to over 4,136 dead soldiers.

My economy does not intimate and would rather not split hairs about what
belongs to whom.

My economy can’t stay out of things, but can’t make it into the thick of
things either.

My economy has questionable purchasing power.

My economy has no surrogate.

My economy has no interpretative skills but is rife with interpretative communi-
ties.

My economy is of trees chopped down in Brooklyn, and the gradual encir-
cling of brick.

My economy is the new red.

My economy thrives on shades of gray.

My economy is an unremarkable tuna sandwich that is missing the slices of
tomato that I had asked for.

My economy is a liter bottle of Poland Spring water coming not from
Poland but from Maine and bought at a university cafeteria in Uptown
Manhattan where there are quite a number of water foundations that deliver
water with a funky metallic aftertaste.

My economy is a poem called “First Purchase of the Month” consisting of
two stanzas with six eight-word lines each within a larger poem that could
be endless but won’t be:

Could’ve been an outfit for the Whitney Biennial

Couldn’t afford one, nor did I need it.

Who cares how you look at the zoo;

it’s about the animals, stupid. Which reminds me,

could’ve been the trail mix I snacked on

&amp; which I managed not to purchase myself.



It was tuna on whole wheat, lettuce, jalapeños;

a one liter bottle of water (Poland Spring.)

Asked for tomato too, which the lady forgot.

You Puerto Rican, she asked? Don’t think so,

said another one in Spanish. Let me answer.

No, what made you think so? The peppers?


My economy needs contractions and abbreviations.

My economy is not fixed.

My economy is broken, mispronounced.

My economy has cold feet, even if there are plenty of socks at home.

My economy would like to be wholesome and sound.

My economy is a gift certificate that is not enough for what I’d like to have,
so I end up spending money at a store that I dislike in the first place and
will never visit again.

My economy is a business lunch where I end up paying the bill instead of
the person who’d like me to work with her.

My economy consists of performing tasks for which I receive no quantifi-
able pay.

My economy grows when it’s enough to buy someone else a drink, or a
meal.

My economy does not allow me to say no.

My economy pretends to be booming, but instead, is shaky and imploding.

It doesn’t matter, because my economy is predicated on virtue, and it posits
that it’s purer than yours.

My economy has no exchange value.

I’d like to think of my economy as one of resistance and tactical difference.

My economy is not a disposable good.

There are no surpluses in my economy.

I already owe what I just wrote.

My economy is derivative, parasitical, and residual.

My economy is a hand-me-down.

My economy is not environmentally friendly, although it’s not ravaging
non-renewable resources either.

My economy doesn’t force me to put my money where my mouth is. Were I
to pay for what I say, it would be a different story.

Thirteen cents a word is not fair trade.

My economy mistakes what it means to trade in futures.

In theory my economy is not the result of deliberate choice, it is makeshift
and a tag-along.

My economy has double standards.

My economy has attention deficit disorder.

My economy is the symptom of an incurable disease.

My economy is not even mine.


Word count: 682",N/A
Suzanne Gardinier,66,56799,"I'm used to the emperor's bitterness
I can't find the sweet place unless you make me

This face that is not my face I may
look made but when you touch me you make me

Make the oak say blossom The stripped say swell
The avenue pavement say river Make me

This shirt I can't take off The one
the nights without you gathered to make me

The new day The sweet place Tomorrow
whispering from tonight's last light Make me

Kissing you without authorization
If you want me to stop you'll have to make me

The ruined city Or is it a woman
interrupting your sleep to say Now To say Make me",poetry
John Tipton,"67P/C-G
 
 
  
   Launch Audio in a New Window",92714,"two oblong lobes
of rough ice
methane and ammonia
fallen far below
the Kuiper Belt
perturbed by Jupiter
into nearer perihelion
where they warm
the coma sublimes
the tail blurs
a trim probe
relays images from
the twilit surface
as gray and
vacant as sleep
this small craft
a little boat
a dim soul
in an afterlife
in attenuate gravity
in stifling quiet
in the Tuat
to be weighed
against the truth
Thoth and Anubis
at the Scales",poetry
Kate Greenstreet,07-Dec,54602,"Men are trading their bullets for worms.
“I spent a lifetime building.”

We come down from the mountains. We brought eggs, a table, a windowshade. There were times when we couldn’t bring anything. So many people.

As you were walking up the hill and I was walking down, we almost passed each other. But I grasped your arm and backed up. You said: “This is what I look like now.”
",novel
Jeff Daniel Marion,78 RPM,53524,"In the back of the junkhouse
stacked on a cardtable covered
by a ragged bedspread, they rest,
black platters whose music once
crackled, hissed with a static
like shuffling feet, fox trot or two-step,
the slow dance of the needle
riding its merry-go-round,
my mother’s head nestled
on my father’s shoulder as they
turned, lost in the sway of sounds,
summer nights and faraway
places, the syncopation of time
waltzing them to a world
they never dreamed, dance
of then to the dust of now.",poetry
Paul Blackburn,7th Game  :  1960 Series,55512,"—for Joel—
Nice day,
sweet October afternoon
Men walk the sun-shot avenues,
Second, Third, eyes
intent elsewhere
ears communing with transistors in shirt pockets
Bars are full, quiet,
discussion during commercials
only
Pirates lead New York 4-1, top of the 6th, 2
Yankees on base,    1 man out

What a nice day for all this  !
Handsome women, even
dreamy jailbait, walk
nearly neglected  :
men’s eyes are blank
their thoughts are all in Pittsburgh

Last half of the 9th, the score tied 9-all,
Mazeroski leads off for the Pirates
The 2nd pitch he simply, sweetly
CRACK!
belts it clean over the left-field wall

Blocks of afternoon
acres of afternoon
Pennsylvania Turnpikes of afternoon  .  One
diamond stretches out in the sun
the 3rd base line
and what men come down
it

The final score, 10-9

Yanquis, come home",poetry
Charles Bukowski,8 count,49699,"from my bed
I watch
3 birds
on a telephone
wire.

one flies
off.
then
another.

one is left,
then
it too
is gone.

my typewriter is
tombstone
still.

and I am
reduced to bird
watching.

just thought I'd
let you
know,
fucker.",poetry
Evan Kennedy,(The) Abashed,92173,"Danger from others provoked
a change in my internal
law. I was no flawed creature,
but the unpersuaded
sure made their case
with their brutality.
They tied me to a fence, began
thrashing the life out of me.
If the meek deserve
to jubilee, in what bodies
are we to defend our selves
and supple registers
of bonum. It’s time to confess
I was never cruising for
this bruising but maybe
just cruising
toward a rapid intercession
of effervescent affection
that could gift a beneficent
fever among us.


Angels arrived to inhospitality,
and I hear my body still groan in that aftermath.


❖


I am my desire. Grew up a screw-up
but bucked up a fuck-up,
each thing I took into my nine holes
was rotting, obviously. What perils
when asleep, when en route,
in the sea, in the wilderness
somehow I made it through.
When beside myself, I spotted
an antidote toward
a reversal in all places my biology
doomed me.
True witness was clarified
by my thighs, chest, and throat. To
quote that it’s flesh and it’s not—



Now from my
1394 Utah Street room,
a couple of blocks away,
a strangers’ elegy sinks toward
Earth. To keep watch of community
beyond a shame that stills me—
We’ve been put outside
the populace to offset their enmity.

❖


Singing on my way back to
Assisi a sissy, I’m thrown into a ditch.
It’s my bitch of a knee failing me
after so much cycling that groans
as though flesh has worthy feeling.
These thieves think
I’m a rich troubadour, despite
my nasal whine and valedictory hymn—
the one about poverty, or maybe
I am that bad of a mumbler?
Since I’m not much of
a stumbler, it’s a whim to be made
inert through violence cops not long ago
would round up the likes of me
along Market Street so thanks, men,
for making this human a humble
and stilled thing, alive only
unto your forces. Earth will be
a swallower of your corpses.

❖


Made of dirt, would I know what
dirt tastes like. While I was cycling,
the earth and I
exceeded living bodies’ partitions.
Wishing that the strewn parts of
you long gone ones
would reassemble in a gust
of florescence and soundtracks,
I promise my legs can brace
for any supple clamor.
If the dead all rise age thirty,
at twenty-nine,
still ahead is my finest glamour.
Thus I became a hammer
to darkest anti-matter. Thus
I became a ticking time bomb
of kingdom expectation in
my gray hoodie and sharp teeth.


for Bruce Boone

❖


Bring forth any within you to save you.
So made changeless, a wave or nerve
to enact its fullness. If I’m raised
over waste, hold me there to vomit
the meat I’ve sucked down
and peril I’ve soaked in through
local commotion. There is a continent
San Francisco
at the bottom of the Pacific Ocean.

What is it to be equipping for
the convenience of
kingdom—      such as swapping spit with
strangers, giving dogs a good scratch
behind the ears,
or fighting from my bicycle
the cars that could spell
my death in the papers. And
drinking milkshakes in Mission diners.
A cop knelt and kissed the feet of a priest,
and I threw up at the sight of that.

My only security has been to garden civility
in city boots scuffled along the way
by impedimenta to my solace.",poetry
Dennis Cooper,ABBA,54885,"for Brad Gooch
We snort all our coke
on the way to the party.
We bring the new album.
We dance while we listen.

The band is two women
whose husbands control them.
They do not speak our language.
Each syllable’s an obstacle.

They are in love with a man.
He is in love with another.
But they’re in no hurry.
They could wait forever.

And when they are out
on the make for a lover,
they’ll always find him.
They are the tigers.

We are stoned too stoned to.
We dance till we’re tired
and listen to lyrics
we mouth like a language.

What we feel, when we
hear them, is inexpressible.
We can’t put into words.
Maybe our dances show it.

ABBA lives for their music.
We long for each other.
They see what we’re doing.
They put it on record.

They play it, we listen.
We are absolutely stunned.
We feel, and they know
more than anyone can say.",poetry
Kathryn Maris,ABC,91305,"Identification is a highly important factor in the mechanism of hysterical symptoms; by this means patients are enabled in their symptoms to represent not merely their own experiences, but the experiences of a great number of other persons, and can suffer, as it were, for a whole mass of people, and fill all the parts of a drama by means of their own personalities alone.
— Sigmund Freud
Anne identified with Cate until it became a bona fide
illness, for Boris had left Cate, resulting not only
in psychic estrangement but an unconscious stream

of hostility directed not at Boris, but at his new woman,
Anne, whom Cate viewed as her rival. Cate remained
excessively tender with Boris, though Cate, for him,

had been a “totem animal” from which he gained power
by “eating.” Whereas Boris was the patriarch,
Anne was the ego alien; and whereas Cate was Anne’s

fixation, Anne was no one’s obsession, so she was
admitted to a psychiatric ward with the unbidden
associations she could not be induced to abandon.

On the rare occasions she slept, the manifest and latent
content of her dreams was the dance of abandonment
between Boris and Cate, which Anne, in her waking hours,

projected onto the walls, as though screening a silent film.
She could not be induced to abandon this footage;
she could not be induced to abandon her object love

of Boris (whose own object choice was his
ego-libido); or her identification with Cate, who felt
no friendship towards Anne. Soon Anne drew a mental

triangle on every surface she saw, be it phallic or
concave, and sometimes this triangle was isosceles,
sometimes it was equilateral, and often it was right.",novel
